procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12867724 321880 2484124    0    0     0     0  191  153 41  1 58  0  0
 0  0      0 12867724 321880 2484128    0    0     0     0  144  110 29  0 71  0  0
 0  0      0 12867724 321880 2484128    0    0     0     0  113  102 21  0 79  0  0
 0  0      0 12865676 321880 2484132    0    0     0     0  220  128 51  0 49  0  0
 1  0      0 12865676 321880 2484132    0    0     0    24  213  150 45  0 54  1  0
 1  0      0 12868096 321880 2484132    0    0     0     0  246  169 60  1 39  0  0
 0  0      0 12868096 321880 2484136    0    0     0     0  215  151 46  0 54  0  0
 0  0      0 12867724 321880 2484136    0    0     0     0  146  112 30  0 70  0  0
 0  0      0 12867724 321880 2484136    0    0     0     0  198  119 46  0 54  0  0
 0  0      0 12865676 321880 2484136    0    0     0     0  194  127 44  1 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12865180 321880 2484136    0    0     0    36  138  133 22  0 77  1  0
 0  0      0 12862636 321880 2484136    0    0     0     0  210  145 48  0 52  0  0
 0  0      0 12862636 321880 2484140    0    0     0     0  131  110 26  0 74  0  0
 1  0      0 12862636 321880 2484140    0    0     0     0  147  115 30  0 70  0  0
 1  0      0 12862636 321880 2484140    0    0     0     0  168  116 32  0 68  0  0
 1  0      0 12862636 321880 2484140    0    0     0    40  106  118 15  0 80  5  0
 1  0      0 12862636 321880 2484140    0    0     0     0  166  119 33  0 67  0  0
 1  0      0 12862636 321880 2484148    0    0     0     0  178  122 36  0 64  0  0
 0  0      0 12862636 321880 2484148    0    0     0     0  147  108 29  0 71  0  0
 0  0      0 12862636 321880 2484148    0    0     0     0  111   98 21  0 79  0  0
 2  0      0 12862636 321880 2484152    0    0     0    56  178  145 36  0 61  3  0
 3  0      0 12862636 321880 2484152    0    0     0     0  165  132 36  1 63  0  0
 1  0      0 12865056 321880 2484152    0    0     0     0  213  266 37  0 63  0  0
 0  0      0 12865056 321880 2484152    0    0     0     0  161  113 33  0 67  0  0
 0  0      0 12865056 321880 2484152    0    0     0     0  231  141 55  0 45  0  0
 1  0      0 12864808 321880 2484156    0    0     0    24  135  132 24  1 74  1  0
 0  0      0 12864808 321880 2484156    0    0     0     0  175  131 36  0 64  0  0
 0  0      0 12862760 321880 2484156    0    0     0     0  196  124 46  0 54  0  0
 1  0      0 12862760 321880 2484156    0    0     0     0  171  123 36  0 64  0  0
